,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-03-09,5.0,3.666872210371692,0.1287927450191391,3.00620184138671,3.6553671209032226,4.3750201068232615
2020-03-10,3.0,3.6176047366878317,0.08733501897704787,3.07368146346937,3.6094275105501463,4.21478193399231
2020-03-11,6.0,3.383058053190767,0.055784732624880706,2.926745485364285,3.3773508010049347,3.866481750949567
2020-03-12,9.0,2.9724515385175163,0.03496992982045423,2.6208488058843407,2.968570423408343,3.3527683605874756
2020-03-13,13.0,2.467018618066727,0.021124102640833815,2.1854639718310946,2.464179867219399,2.7590717687860398
2020-03-14,18.0,1.9965010720598904,0.012886217857376692,1.7779144512772067,1.9940995529151877,2.2215113633451655
2020-03-15,25.0,1.6022957439632255,0.008098691115659855,1.4278998465702641,1.6006460690147006,1.7802227662887895
2020-03-16,34.0,1.2887091971487004,0.005470255130285321,1.1486428341540238,1.2872293083489086,1.4396504887077124
2020-03-17,44.0,1.0547049056120206,0.003884162411919523,0.935375310399952,1.0534624358268265,1.1806888900102148
2020-03-18,34.0,0.8913967937491597,0.00307505295742705,0.7843696147194689,0.8902310377680063,1.0050010925157835
2020-03-19,27.0,0.8431934170788438,0.002817534989003361,0.7430579438739106,0.8420598397890701,0.9513391399452105
2020-03-20,22.0,0.9850961597387957,0.0034010690207834154,0.8726291696978621,0.9839353450848994,1.1042182410147725
2020-03-21,18.0,1.4648430659331075,0.005247389263776609,1.324893649746957,1.4636243796822583,1.6117179569758937
2020-03-22,15.0,2.3413809423682252,0.008668434653276356,2.166209697397296,2.34018525404196,2.529318138561014
2020-03-23,13.0,3.439302119735911,0.01156647820823357,3.2284822687409576,3.438145397790855,3.6559869440625903
2020-03-24,42.0,4.115190205728463,0.01112487757861387,3.9071660062755824,4.114276664023251,4.3258982059452
2020-03-25,78.0,4.057583454489691,0.007752379999415325,3.886049611151016,4.056940686944707,4.234461717920492
2020-03-26,114.0,3.5186381783266105,0.004498653303663731,3.390497560026259,3.5182257738600615,3.6491224468258254
2020-03-27,160.0,2.9166332428282726,0.0025112184129648368,2.818943342033049,2.9163445188434687,3.0159639320900324
2020-03-28,220.0,2.3886584430888145,0.0014532131983136295,2.314115918920009,2.388453411813666,2.4643392681140295
2020-03-29,302.0,1.9714019574851864,0.0009013623776551482,1.9129710574162382,1.9712494142477672,2.0312728691593054
2020-03-30,414.0,1.6478611548642694,0.000598541092740665,1.6002201331757846,1.647739778191534,1.6962159684107088
2020-03-31,434.0,1.3901098770963842,0.000422426259358537,1.3500923138543488,1.3900071345251166,1.4309710068314345
2020-04-01,384.0,1.1918714152984347,0.0003175554316722375,1.156953750696604,1.191781341523774,1.2271394694282076
2020-04-02,379.0,1.0434789803176865,0.0002540983395019368,1.0123813570882363,1.0433973467405406,1.0750405190658325
2020-04-03,398.0,0.939996493742468,0.0002174849931498917,0.9114155495037126,0.9399199288705921,0.9690125484979981
2020-04-04,432.0,0.8727418767443169,0.00019845783392704187,0.8454469854469233,0.8726666357630404,0.9004643549434852
2020-04-05,476.0,0.8304911346495492,0.00019080791073254833,0.8036322920167007,0.8304145303938557,0.8577853114355315
2020-04-06,527.0,0.809563573033417,0.00019005427644822672,0.782653771136484,0.8094838290493693,0.8370640376396401
2020-04-07,508.0,0.8028710145037308,0.00019818276370986773,0.7757125603450383,0.8027899371188112,0.8305440583788368
2020-04-08,453.0,0.8169218243057456,0.00021297867772157413,0.7887731305323262,0.816837011159163,0.8454193606101351
2020-04-09,430.0,0.8508972870060683,0.0002346123306447521,0.8212313860561304,0.8508059562973449,0.8812134692156206
2020-04-10,424.0,0.9074439109886512,0.00026333715589863785,0.8758235530427867,0.9073461869344426,0.9395591243947394
2020-04-11,427.0,0.9828140141216175,0.0002970078281360467,0.9492986275442068,0.9827143815776156,1.0166891348016454
2020-04-12,435.0,1.0711502276418297,0.0003310833988917786,1.0352203402105589,1.0710460909064397,1.1072980936666563
2020-04-13,447.0,1.150659239170689,0.00035886474894842734,1.1137187474826098,1.150554667610968,1.1881940003721003
2020-04-14,471.0,1.2098786341142138,0.00037229221056994395,1.1724263019142622,1.2097773422148705,1.2472537998228543
2020-04-15,499.0,1.233857534002707,0.0003680252725272241,1.1960204846215419,1.2337552968927143,1.2723107229659527
2020-04-16,527.0,1.2278700535911584,0.00035069300954503074,1.191919785299795,1.2277773726122445,1.2643470187448578
2020-04-17,555.0,1.200697015471174,0.00032612125265847733,1.1660129566247304,1.200609570062435,1.2357296506483115
2020-04-18,584.0,1.1668434294069376,0.00029953130881672774,1.1332154939708494,1.166758109498858,1.2009385435556115
2020-04-19,613.0,1.1386042326517738,0.00027884507814233495,1.1063063065312138,1.138523598871264,1.1713603926753362
2020-04-20,644.0,1.1314550669264958,0.00026633514176363537,1.0999985018155156,1.131377424444913,1.1633506193726493
2020-04-21,439.0,1.1588001692605858,0.00026453723065383237,1.1271973947915095,1.1587243573989245,1.1908337752267912
2020-04-22,519.0,1.2222485560787968,0.0002703888765848059,1.1905810146400322,1.2221766332347928,1.2544089770179836
2020-04-23,584.0,1.307949693221326,0.0002770895439648624,1.275309660098542,1.307878128927028,1.3409200171886595
2020-04-24,638.0,1.3790284562117767,0.0002801450868604528,1.3461752877285829,1.378960411540442,1.412143077520767
2020-04-25,686.0,1.42036082678083,0.00027120744668527685,1.3882314635603346,1.4202970473768635,1.4528526424840837
2020-04-26,732.0,1.4125976535343705,0.00024855580904544,1.3818257028058056,1.412538852532455,1.4437037649865596
2020-04-27,777.0,1.3592463418340692,0.00021836165352773776,1.3306190988328122,1.3591934731389688,1.388174032832218
2020-04-28,1220.0,1.2764591859601384,0.00018735555957340896,1.2498754740360933,1.2764108808433825,1.3033282577213479
2020-04-29,1051.0,1.1832448502591677,0.0001608781081776711,1.1587359543801412,1.1832003424918236,1.2080066797536078
2020-04-30,972.0,1.0971187594723988,0.00013981583347465805,1.0741699699800122,1.0970767112259814,1.1202954811197987
2020-05-01,942.0,1.0333001511059037,0.0001257546439337002,1.011596207996629,1.0332601822323269,1.0552741387038211
2020-05-02,938.0,1.0009676982495517,0.00011881523041819682,0.9795396199172812,1.0009274676233293,1.0226244035688428
2020-05-03,950.0,1.0049382798787363,0.0001181246915318495,0.983800497014518,1.0048992937730081,1.0263945572446613
2020-05-04,969.0,1.0442435768105278,0.00012219981655580515,1.0227799962454958,1.044204902126634,1.0659269421102524
2020-05-05,1031.0,1.1014225336724617,0.00012894840891687263,1.0794549411251537,1.1013836843715037,1.123738995039448
2020-05-06,1120.0,1.163672532670297,0.00013554046354737853,1.1410796180321303,1.1636341008125903,1.186596903543853
2020-05-07,1197.0,1.207110402611504,0.0001373490774025271,1.184170644577947,1.207072143660605,1.2302642778808845
2020-05-08,1270.0,1.213102290975873,0.0001333506158766217,1.1905865590615439,1.213065690863245,1.2359478928793992
2020-05-09,1342.0,1.1860875230213592,0.00012459549773401174,1.164357248260996,1.1860526606640156,1.2079127437442394
2020-05-10,1416.0,1.1288053752095022,0.00011295816703760885,1.1080888285150787,1.128772301425681,1.1496414475516468
2020-05-11,1492.0,1.0582066561953907,0.00010141400523658105,1.0385367876015525,1.0581746352576995,1.078043034343643
2020-05-12,1456.0,0.9908918408343608,9.165257154364762e-05,0.972224314166891,0.9908610361422258,1.0097344278237879
2020-05-13,1359.0,0.9349641375911528,8.486663086309189e-05,0.9170999175582137,0.9349342368198025,0.952998281039013
2020-05-14,1317.0,0.9018391633874456,8.183982412833282e-05,0.8841526873749748,0.9018087700104729,0.9196983622373394
2020-05-15,1306.0,0.8977758263583686,8.237511929269742e-05,0.880064757923557,0.8977455295129202,0.9155666158219125
2020-05-16,1312.0,0.923714592005505,8.701362484666607e-05,0.9054541053234055,0.9236829583008832,0.9421548501921762
2020-05-17,1327.0,0.977670942044836,9.47176888368378e-05,0.9587294458118347,0.9776387896070127,0.9967951577060603
2020-05-18,1347.0,1.0536128653100025,0.00010435046795155858,1.0337279519806066,1.0535799929076732,1.0736845895734715
2020-05-19,1412.0,1.1381850774134867,0.00011367128969916916,1.1173907992226129,1.1381518107797377,1.159168406934612
2020-05-20,1497.0,1.2172156985334013,0.00012074904595955443,1.1958917304336225,1.2171828136045066,1.238848544588851
2020-05-21,1563.0,1.2859978957344125,0.00012397463691656084,1.2642097863530426,1.2859655931315608,1.3079367256078396
2020-05-22,1620.0,1.33617746910635,0.00012256344237159065,1.3144531106599553,1.3361467867938481,1.3580008144848223
2020-05-23,1671.0,1.3591319233023318,0.00011702836879535781,1.3380489541140013,1.3591033257289729,1.3803774100151327
2020-05-24,1721.0,1.3669243996387,0.00010966701136590995,1.346522158279417,1.3668977783143568,1.3875459505593897
2020-05-25,1771.0,1.359292020129172,0.00010079727224806241,1.3397051597565013,1.3592673531541801,1.379019060792711
2020-05-26,1892.0,1.333861798247407,9.129187806141174e-05,1.315179781292847,1.3338389335363332,1.352591280902471
2020-05-27,2072.0,1.2905109734127156,8.161445000208846e-05,1.2730126441714016,1.2904902462498735,1.3081270933416556
2020-05-28,2220.0,1.2291238294556728,7.213962502215728e-05,1.2125272799687314,1.2291042526931857,1.245760672160492
2020-05-29,2356.0,1.153998331169289,6.342240758425465e-05,1.1385172984312895,1.1539801899247026,1.1695824590447286
2020-05-30,2487.0,1.0717556664661712,5.590353712597156e-05,1.0571458224157522,1.071738329299833,1.0864382392320993
2020-05-31,2619.0,0.9908274182654824,4.978308635323634e-05,0.9770310534458031,0.9908106335503359,1.0047191691776982
2020-06-01,2755.0,0.9158904781864372,4.486849339603815e-05,0.9028121587589817,0.9158741581058489,0.9290615432251066
2020-06-02,2650.0,0.8516789479891111,4.162837339398464e-05,0.839074998850591,0.8516626434043764,0.8643755546725911
2020-06-03,2402.0,0.8075756683086385,4.014183518526068e-05,0.7953031838049105,0.8075594341729591,0.8199135149616074
2020-06-04,2271.0,0.7890016564706759,4.06933148117546e-05,0.7765382327502298,0.7889844383549758,0.8015629292436127
2020-06-05,2204.0,0.8037347393232607,4.3555809866169866e-05,0.7909217477779169,0.8037168740192049,0.8167369504359275
2020-06-06,2173.0,0.8576160491418252,4.918411074793091e-05,0.8439300361917466,0.8575969468748543,0.8714386162064636
2020-06-07,2161.0,0.9443890796733234,5.734317652380475e-05,0.9295595203511505,0.9443687151031163,0.9593343690761503
2020-06-08,2159.0,1.048158413923085,6.636679996772582e-05,1.0320917830499452,1.0481370264690923,1.0642365449841915
2020-06-09,2262.0,1.1432886815807066,7.404782629555526e-05,1.1265521952001762,1.1432672667168524,1.1601468667823776
2020-06-10,2412.0,1.2042102784326425,7.74939738897469e-05,1.187044055687387,1.2041888927304782,1.2215394912092385
2020-06-11,2522.0,1.21441305534434,7.568122460847653e-05,1.1973378797097816,1.214392075841974,1.2315642925800736
2020-06-12,2610.0,1.1696937789428852,6.976528459843651e-05,1.1533996238205975,1.1696739482959089,1.1860998975593982
2020-06-13,2688.0,1.0892140883802766,6.180253009239983e-05,1.0739830669353454,1.0891953935325094,1.1046322917929787
2020-06-14,2760.0,0.9927384031386295,5.396014054927975e-05,0.978415824873074,0.9927203438613181,1.0071636107190107
2020-06-15,2831.0,0.897198873407479,4.763541558194142e-05,0.883714337814991,0.8971811552875866,0.9107840995406632
2020-06-16,2660.0,0.81786815241315,4.320453472283508e-05,0.8050313369138404,0.8178505326518071,0.8308075248320984
2020-06-17,2375.0,0.7680223966806702,4.131024037458029e-05,0.7554780207274445,0.7680044728935522,0.7806686319497647
2020-06-18,2204.0,0.757797529603977,4.2448804343012426e-05,0.7450620359492881,0.7577788018059151,0.7706394516929154
2020-06-19,2098.0,0.7979897539617877,4.743218559116558e-05,0.7845625954646296,0.7979699848866538,0.8115292583792326
2020-06-20,2027.0,0.8998245950434576,5.7535375419908455e-05,0.8851062167520377,0.8998035341109196,0.9146989973805908
2020-06-21,1977.0,1.0621083702478482,7.231427721344168e-05,1.0455460900832683,1.0620857837620752,1.0787990074473455
2020-06-22,1938.0,1.2591670213191066,8.874388140532309e-05,1.2407096236649755,1.2591433304380546,1.2777754919231206
2020-06-23,2174.0,1.426714907570803,9.977167622686251e-05,1.4072598577213375,1.426691730490206,1.4463016707793235
2020-06-24,2541.0,1.5061418165206861,0.00010004120151278198,1.486635248455621,1.5061197533579556,1.5257737676528076
2020-06-25,2784.0,1.4772882361402127,8.990192221389205e-05,1.4586942553924276,1.47726780122539,1.495984096476095
2020-06-26,2961.0,1.364916799083319,7.482862355779731e-05,1.3481147296317784,1.3648987416527074,1.3818214873743586
2020-06-27,3105.0,1.2110580059984244,5.990358632504285e-05,1.1959367669828453,1.2110415908610186,1.2262406939922466
2020-06-28,3234.0,1.0472329527504525,4.7614277562983795e-05,1.0337681796009863,1.047217834246077,1.06078364306811
2020-06-29,3355.0,0.8930009225399608,3.8418813949293e-05,0.880938563755824,0.8929866892237108,0.90514416803922
2020-06-30,3084.0,0.7588374745148352,3.205323316113702e-05,0.7477545373555801,0.7588233932638496,0.7699743420728087
2020-07-01,2668.0,0.6546756767231603,2.8102326656794655e-05,0.644323978582733,0.6546613458206492,0.6651144397785402
2020-07-02,2415.0,0.5856170193098844,2.658682748120875e-05,0.575555284076849,0.5856018898916049,0.5957647336967313
2020-07-03,2253.0,0.5584281892909051,2.781277661429094e-05,0.5481620127837706,0.5584116619409477,0.568788289261263
2020-07-04,2144.0,0.5779236731070894,3.250386899827789e-05,0.5668390639717105,0.5779050476869274,0.5891141288419117
2020-07-05,2065.0,0.6498450945427708,4.178867413155025e-05,0.6372319155908049,0.6498236452058936,0.6625801681571002
2020-07-06,2002.0,0.7722200259264516,5.6787016091869384e-05,0.757441389023739,0.7721952487152713,0.7871394695083443
2020-07-07,2036.0,0.9288111534211954,7.67695838759641e-05,0.9117440506891632,0.9287836905353821,0.9460748034519096
2020-07-08,2098.0,1.0895725753484586,9.734499293812477e-05,1.0703373612977711,1.0895429683399946,1.1088976266835058
