,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-03-08,3.0,2.3222094573348917,0.08181570413081146,1.79554658408383,2.3104699626463074,2.9499231199484583
2020-03-09,0.0,2.438474626190005,0.06873778356383109,1.9559894318599111,2.429829537752874,2.9911046120515308
2020-03-10,3.0,2.7790572912719647,0.06584967888623594,2.3123109430919766,2.7720647865685533,3.309057017092453
2020-03-11,11.0,3.3611356457346577,0.05967885047673794,2.8975514057258174,3.3551299524570064,3.8468260696052807
2020-03-12,15.0,3.422179611381101,0.04552142792679026,3.0387709056394367,3.418140949396819,3.835668892104339
2020-03-13,0.0,3.0150784857127717,0.029433072274333123,2.6726623381245966,3.0116556000605255,3.369218082707621
2020-03-14,18.0,2.430496762682596,0.01704090451827061,2.174410462777155,2.4280535799098084,2.693710346528163
2020-03-15,0.0,1.8708712249581188,0.009698866214857634,1.683144762021906,1.8691393107051977,2.068953899949718
2020-03-16,83.0,1.487016958328061,0.006050118618956015,1.339678967485142,1.4857173106805974,1.6432793726794834
2020-03-17,11.0,1.2406419315519719,0.004266294114360796,1.1160658407989639,1.2395003396252378,1.3716602362599764
2020-03-18,58.0,1.139977044354258,0.003528269819866851,1.0269158239317684,1.1389217064421762,1.2607000195746458
2020-03-19,45.0,1.315433283654738,0.0037829703391592502,1.1976129384891263,1.3144731278346042,1.4383902151365313
2020-03-20,47.0,1.733194526188984,0.00485268361344322,1.599655513959655,1.7322982962499789,1.8710906077763816
2020-03-21,0.0,2.1205159366347024,0.005595779163147059,1.9749172314915817,2.1196176480631927,2.2701861244999457
2020-03-22,0.0,2.22413868025266,0.005134027902581287,2.0862435658249243,2.2233958531931677,2.3642265254241046
2020-03-23,0.0,2.125216652992111,0.004093787435379154,1.9996877221291525,2.124542991911822,2.254562897276127
2020-03-24,0.0,2.098061880128168,0.0032336499115248607,1.986446100318513,2.0975325785350063,2.212685608507508
2020-03-25,416.0,2.2039732787888293,0.0027685234888537285,2.101712150524141,2.2035637805648074,2.307373032802033
2020-03-26,177.0,2.338374962788802,0.002382964501301607,2.244054200681962,2.338032689024012,2.43516749093594
2020-03-27,145.0,2.2782490268387585,0.0019004280098510514,2.1929167898258815,2.277965048789919,2.3654019040341288
2020-03-28,0.0,2.0611941295125438,0.0013818422428357247,1.9888467254944897,2.0609698727341,2.134815961074249
2020-03-29,0.0,1.8044803207615288,0.0009732466107401234,1.7434529242284547,1.8042971944176442,1.8667102310630415
2020-03-30,189.0,1.5889358476971138,0.0007055372767076776,1.537354655880757,1.5887853706363635,1.6418550228023543
2020-03-31,652.0,1.4250845507490693,0.0005407941663221189,1.379843469097837,1.4249579295639,1.471028282438053
2020-04-01,533.0,1.2685233851627777,0.00042513886348595286,1.2284105702374328,1.2684118664468773,1.309313585386362
2020-04-02,397.0,1.0996559396333994,0.00033620492489327047,1.0638172840498537,1.0995529171778122,1.1360800612666553
2020-04-03,387.0,0.957484355558035,0.00027588254156694816,0.9250668866853304,0.9573874874531916,0.9904523157802385
2020-04-04,294.0,0.8671559545403588,0.0002422436091399755,0.8368966358899907,0.8670627154323425,0.8979517496290812
2020-04-05,116.0,0.8196481969919656,0.0002282540614230028,0.7901694096236589,0.8195545220948297,0.8496593287778494
2020-04-06,142.0,0.8034534693443516,0.00022921244318935171,0.7739409982916072,0.8033576414794399,0.833510519796324
2020-04-07,504.0,0.8004379755437387,0.00024190743703784203,0.7703334814840411,0.8003378423725718,0.831277226879668
2020-04-08,689.0,0.8130673972323781,0.0002594296887038023,0.7821737554638186,0.8129635749737179,0.8445510494882975
2020-04-09,530.0,0.857930960443118,0.00028838642917205365,0.8248531177764129,0.8578203914294618,0.8913047666009823
2020-04-10,505.0,0.9472815306267077,0.00033404648698147766,0.9114870660270359,0.94716311996131,0.9835685547218951
2020-04-11,149.0,1.0615409746017814,0.0003898631587119536,1.0232050558949584,1.0614168343978998,1.1005807324856633
2020-04-12,221.0,1.1756624036401881,0.000444111774205283,1.1347498594885046,1.1755350394882715,1.217564200552523
2020-04-13,66.0,1.2632702295052405,0.00047100304200987925,1.221337812615298,1.2631478579981334,1.306176488453771
2020-04-14,287.0,1.3027710987743073,0.0004686712197907538,1.260521575631547,1.3026502508111937,1.3457073885217343
2020-04-15,1059.0,1.2805090305587958,0.00043788168719909525,1.2402229502586337,1.280396381874941,1.3216005205326868
2020-04-16,144.0,1.2167130411982376,0.00038682596598925005,1.17838832081635,1.2166069030353015,1.2555805905948914
2020-04-17,836.0,1.1369833747008422,0.00033861068513658515,1.1011694050517322,1.1368839318431794,1.173362468045575
2020-04-18,684.0,1.0726145339494793,0.0003018394663349427,1.038867224904112,1.0725210488739974,1.1068735145633373
2020-04-19,240.0,1.0416240735795694,0.0002837868095565588,1.0090707239204524,1.0415341385999968,1.0747350215714433
2020-04-20,147.0,1.0659775429174427,0.0002835351199326609,1.03276133996272,1.0658863146752113,1.099712186776209
2020-04-21,527.0,1.1691619037194403,0.0003085373692842721,1.1350817704333043,1.1690744322220024,1.2037391289106627
2020-04-22,349.0,1.3620268559106372,0.00035723095584527315,1.3256415159318502,1.3619413778526896,1.398897959496604
2020-04-23,534.0,1.6251110448424444,0.00040866840935884294,1.58569510096832,1.6250270731258296,1.6650041921308691
2020-04-24,575.0,1.8180039672096755,0.00042645236040725115,1.7778129898940156,1.8179261227469827,1.8586084992462868
2020-04-25,1298.0,1.8158256315413883,0.00037705118514741215,1.777802195120518,1.8157558152166404,1.8540518399165133
2020-04-26,415.0,1.6384874688914581,0.0002918482446726674,1.6051080370241366,1.638427861450451,1.6722056444695088
2020-04-27,476.0,1.409546508373496,0.0002144060774761679,1.3809152644500267,1.4094955315463968,1.4384674490096825
2020-04-28,1408.0,1.1918714437528508,0.00015857028252588801,1.1674829384671046,1.191827696800514,1.2165085590197413
2020-04-29,1241.0,1.007167935758918,0.00012219243418838108,0.9856289174104427,1.0071275381069134,1.0289365302874405
2020-04-30,1511.0,0.8546492675115348,9.857397696441127e-05,0.8352975477681897,0.8546104636242753,0.8743082729125878
2020-05-01,938.0,0.7513772271638117,8.569006307285098e-05,0.7333536372002265,0.75133926081536,0.769616576345356
2020-05-02,407.0,0.7194791874937116,8.416714270016059e-05,0.7016350054197189,0.7194403074429594,0.7375443212412249
2020-05-03,328.0,0.7664266141347109,9.515897822002907e-05,0.7474343431698782,0.7663852684061481,0.7856538489891041
2020-05-04,251.0,0.8779753228619738,0.00011808657721305531,0.856696707652246,0.8779300292698979,0.8995113373215622
2020-05-05,1067.0,1.0302219810982218,0.0001492519037149045,1.0063329639535157,1.0301733033628613,1.0543694918232986
2020-05-06,2047.0,1.1876029661715122,0.00017990643976243883,1.1615350527502901,1.187552637094299,1.2139911848142362
2020-05-07,1086.0,1.3020996204974224,0.00019789476778619486,1.2748774820703255,1.3020497204109598,1.329605336594068
2020-05-08,1094.0,1.3370859608328596,0.00019538730755056698,1.31009062659784,1.337038188336249,1.364416944439041
2020-05-09,1420.0,1.3047353236710295,0.00017819828114053562,1.278769894068302,1.3046900387419726,1.330975545857955
2020-05-10,520.0,1.2339896032161142,0.00015619095973183579,1.209439695510693,1.2339468007845507,1.2586895953242068
2020-05-11,464.0,1.159965877309217,0.00013702745539832958,1.1372220253115217,1.1599268019578686,1.1829317910267558
2020-05-12,911.0,1.0944255553422941,0.0001220668012873917,1.0729018661503475,1.0943884634361454,1.1161600345111289
2020-05-13,1720.0,1.0471921891444511,0.00011197846054140882,1.0265889152433698,1.0471566684048281,1.0679973242237084
2020-05-14,1471.0,1.0291995552853082,0.00010753568950882262,1.008971434348653,1.0291647182797625,1.0496256518012281
2020-05-15,2119.0,1.032535996928682,0.00010642701985747584,1.0124002977108408,1.0325015916127254,1.0528672184764647
2020-05-16,1437.0,1.0388478060979343,0.00010630402781060171,1.0186904677753854,1.0388135380691552,1.0591998865621604
2020-05-17,502.0,1.0392970682705138,0.00010572877687738144,1.019291246156047,1.0392633291439166,1.0594946268266416
2020-05-18,257.0,1.029200960876743,0.00010401113565331331,1.0093111383165483,1.0291672849001439,1.049282161000976
